Global Size: 24708 byte                                                                                          Version 1.01 (Aug  6, 2014)
Object Version: 1
+=======+=====+=======================+============================================+==============+====================+===+===+===+===+===+
| OFS   | bit | parameter             | parameter                                  | data(hex)    | value              |TYP|SOC|SUB|PID|IDX|
|   181 |     |                       |                                            |              |                    |   |   |   |   |   |
|   182 |     | MIDI                  | (External Set2 - Pad3) Channel             | 00~10        | 1~Gch              |   |   |   |   |   |
|   183 |     | MIDI                  | (External Set2 - Pad3) Velocity            | 01~7F        | 1~127              |   |   |   |   |   |
|   184 |     | MIDI                  | (External Set2 - Pad3) Note/CC#            | FF~F7        | Off~CC#119         |   |   |   |   |   |
|   185 |     |                       |                                            |              |                    |   |   |   |   |   |
|   186 |     | MIDI                  | (External Set2 - Pad4) Channel             | 00~10        | 1~Gch              |   |   |   |   |   |
|   187 |     | MIDI                  | (External Set2 - Pad4) Velocity            | 01~7F        | 1~127              |   |   |   |   |   |
|   188 |     | MIDI                  | (External Set2 - Pad4) Note/CC#            | FF~F7        | Off~CC#119         |   |   |   |   |   |
|   189 |     |                       |                                            |              |                    |   |   |   |   |   |
|   190 |     | MIDI                  | (External Set2 - Pad5) Channel             | 00~10        | 1~Gch              |   |   |   |   |   |
|   191 |     | MIDI                  | (External Set2 - Pad5) Velocity            | 01~7F        | 1~127              |   |   |   |   |   |
|   192 |     | MIDI                  | (External Set2 - Pad5) Note/CC#            | FF~F7        | Off~CC#119         |   |   |   |   |   |
|   193 |     |                       |                                            |              |                    |   |   |   |   |   |
|   194 |     | MIDI                  | (External Set2 - Pad6) Channel             | 00~10        | 1~Gch              |   |   |   |   |   |
|   195 |     | MIDI                  | (External Set2 - Pad6) Velocity            | 01~7F        | 1~127              |   |   |   |   |   |
|   196 |     | MIDI                  | (External Set2 - Pad6) Note/CC#            | FF~F7        | Off~CC#119         |   |   |   |   |   |
|   197 |     |                       |                                            |              |                    |   |   |   |   |   |
|   198 |     | MIDI                  | (External Set2 - Pad7) Channel             | 00~10        | 1~Gch              |   |   |   |   |   |
|   199 |     | MIDI                  | (External Set2 - Pad7) Velocity            | 01~7F        | 1~127              |   |   |   |   |   |
|   200 |     | MIDI                  | (External Set2 - Pad7) Note/CC#            | FF~F7        | Off~CC#119         |   |   |   |   |   |
|   201 |     |                       |                                            |              |                    |   |   |   |   |   |
|   202 |     | MIDI                  | (External Set2 - Pad8) Channel             | 00~10        | 1~Gch              |   |   |   |   |   |
|   203 |     | MIDI                  | (External Set2 - Pad8) Velocity            | 01~7F        | 1~127              |   |   |   |   |   |
|   204 |     | MIDI                  | (External Set2 - Pad8) Note/CC#            | FF~F7        | Off~CC#119         |   |   |   |   |   |
