00:No Effect


01:Stereo Dyna Compressor
+=====+=====+==================================================+==============+========================+=====+
| OFS | bit | parameter                                        | DATA(hex)    | Value                  | pid |
|     | 7~2 | (P4EQ) Band3 Q                                   | 00~5F        | 0.5~10.0               | 18  |
| 16  | 0   |                                                  |              |                        |     |
|     | 7~1 | (P4EQ) Band3 Gain                                | DC~24        | -18.0~+18.0            | 19  |
| 17  |     | (P4EQ) Band4 Cutoff                              | 00~C3        | 500~20.0k              | 20  |
| 18  | 6~0 | (P4EQ) Band4 Q                                   | 00~5F        | 0.5~10.0               | 21  |
|     | 7   | (P4EQ) Band4 Gain                                | DC~24        | -18.0~+18.0            | 22  |
| 19  | 5~0 |                                                  |              |                        |     |
|     | 7~6 | (Multitap BPM Delay) BPM                         | 0F9F~7530    | MIDI~300.00            | 23  |
| 20  |     |                                                  |              |                        |     |
| 21  | 4~0 |                                                  |              |                        |     |
|     | 7~5 | (Multitap BPM Delay) Tap1 Base Note              | 00~09        | 1/32~1/1               | 24  |
| 22  | 0   |                                                  |              |                        |     |
|     | 6~1 | (Multitap BPM Delay) Tap1 Times                  | 01~20        | 1~32                   | 25  |
|     | 7   | (Multitap BPM Delay) Tap2 Base Note              | 00~09        | 1/32~1/1               | 26  |
| 23  | 2~0 |                                                  |              |                        |     |
|     | 7~3 | (Multitap BPM Delay) Tap2 Times                  | 01~20        | 1~32                   | 27  |
| 24  | 0   |                                                  |              |                        |     |
|     | 7~1 | (Multitap BPM Delay) Tap1 Level                  | 00~64        | 0~100                  | 28  |
| 25  |     | (Multitap BPM Delay) Tap2 Feedback               | 9C~64        | -100~+100              | 29  |
| 26  | 6~0 | (Multitap BPM Delay) High Damp                   | 00~64        | 0~100                  | 30  |
+=====+=====+==================================================+==============+========================+=====+


150:Compressor // Compressor
+=====+=====+==================================================+==============+========================+=====+
| OFS | bit | parameter                                        | DATA(hex)    | Value                  | pid |
+=====+=====+==================================================+==============+========================+=====+
|  0  | 0   | Bypass                                           | 00(fixed)    | Off                    |  0  |
|     | 7~1 | (Effect1) Wet/Dry                                | 00~64        | Dry~Wet                |  1  |
|  1  | 5~0 | (Effect1) Wet/Dry Mod.Source                     | 00~25        | Off~Tempo              |  2  |
|     | 7~6 | (Effect1) Wet/Dry Mod.Intensity                  | 9C~64        | -100~+100              |  3  |
|  2  | 5~0 |                                                  |              |                        |     |
|     | 7~6 | (Effect1) Input Trim                             | 00~64        | 0~100                  |  4  |
|  3  | 4~0 |                                                  |              |                        |     |
|     | 7~5 | (Effect1) Pan                                    | 00~7F        | L000~R127              |  5  |
|  4  | 3~0 |                                                  |              |                        |     |
|     | 7~4 | (Effect2) Wet/Dry                                | 00~64        | Dry~Wet                |  6  |
|  5  | 2~0 |                                                  |              |                        |     |
|     | 7~3 | (Effect2) Wet/Dry Mod.Source                     | 00~25        | Off~Tempo              |  7  |
|  6  | 0   |                                                  |              |                        |     |
|     | 7~1 | (Effect2) Wet/Dry Mod.Intensity                  | 9C~64        | -100~+100              |  8  |
|  7  | 0   |                                                  |              |                        |     |
|     | 7~1 | (Effect2) Input Trim                             | 00~64        | 0~100                  |  9  |
|  8  | 6~0 | (Effect2) Pan                                    | 00~7F        | L000~R127              | 10  |
|     | 7   | (Effect1) Sensitivity                            | 01~64        | 1~100                  | 11  |
|  9  | 5~0 |                                                  |              |                        |     |
|     | 7~6 | (Effect1) Attack                                 | 01~64        | 1~100                  | 12  |
| 10  | 4~0 |                                                  |              |                        |     |
|     | 7~5 | (Effect1) Output Level                           | 00~64        | 0~100                  | 13  |
| 11  | 3~0 |                                                  |              |                        |     |
|     | 7~4 | (Effect1) Pre LEQ Gain                           | F1~0F        | -15~+15                | 14  |
| 12  | 0   |                                                  |              |                        |     |
|     | 5~1 | (Effect1) Pre HEQ Gain                           | F1~0F        | -15~+15                | 15  |
|     | 7~6 | (Effect2) Sensitivity                            | 01~64        | 1~100                  | 16  |
| 13  | 4~0 |                                                  |              |                        |     |
|     | 7~5 | (Effect2) Attack                                 | 01~64        | 1~100                  | 17  |
| 14  | 3~0 |                                                  |              |                        |     |
|     | 7~4 | (Effect2) Output Level                           | 00~64        | 0~100                  | 18  |
| 15  | 2~0 |                                                  |              |                        |     |
|     | 7~3 | (Effect2) Pre LEQ Gain                           | F1~0F        | -15~+15                | 19  |
| 16  | 4~0 | (Effect2) Pre HEQ Gain                           | F1~0F        | -15~+15                | 20  |
+=====+=====+==================================================+==============+========================+=====+


151:Compressor // Limiter
+=====+=====+==================================================+==============+========================+=====+
| OFS | bit | parameter                                        | DATA(hex)    | Value                  | pid |
+=====+=====+==================================================+==============+========================+=====+
|  0  | 0   | Bypass                                           | 00(fixed)    | Off                    |  0  |
|     | 7~1 | (Compressor) Wet/Dry                             | 00~64        | Dry~Wet                |  1  |
|  1  | 5~0 | (Compressor) Wet/Dry Mod.Source                  | 00~25        | Off~Tempo              |  2  |
|     | 7~6 | (Compressor) Wet/Dry Mod.Intensity               | 9C~64        | -100~+100              |  3  |
|  2  | 5~0 |                                                  |              |                        |     |
|     | 7~6 | (Compressor) Input Trim                          | 00~64        | 0~100                  |  4  |
|  3  | 4~0 |                                                  |              |                        |     |
|     | 7~5 | (Compressor) Pan                                 | 00~7F        | L000~R127              |  5  |
|  4  | 3~0 |                                                  |              |                        |     |
|     | 7~4 | (Limiter) Wet/Dry                                | 00~64        | Dry~Wet                |  6  |
|  5  | 2~0 |                                                  |              |                        |     |
|     | 7~3 | (Limiter) Wet/Dry Mod.Source                     | 00~25        | Off~Tempo              |  7  |
|  6  | 0   |                                                  |              |                        |     |
|     | 7~1 | (Limiter) Wet/Dry Mod.Intensity                  | 9C~64        | -100~+100              |  8  |
|  7  | 0   |                                                  |              |                        |     |
|     | 7~1 | (Limiter) Input Trim                             | 64(fixed)    | 100                    |  9  |
|  8  | 6~0 | (Limiter) Pan                                    | 00~7F        | L000~R127              | 10  |
|     | 7   | (Compressor) Sensitivity                         | 01~64        | 1~100                  | 11  |
|  9  | 5~0 |                                                  |              |                        |     |
|     | 7~6 | (Compressor) Attack                              | 01~64        | 1~100                  | 12  |
| 10  | 4~0 |                                                  |              |                        |     |
|     | 7~5 | (Compressor) Output Level                        | 00~64        | 0~100                  | 13  |
| 11  | 3~0 |                                                  |              |                        |     |
|     | 7~4 | (Compressor) Pre LEQ Gain                        | F1~0F        | -15~+15                | 14  |
| 12  | 0   |                                                  |              |                        |     |
|     | 5~1 | (Compressor) Pre HEQ Gain                        | F1~0F        | -15~+15                | 15  |
|     | 7~6 | (Limiter) Ratio                                  | 00~83        | 1.0:1~Inf:1            | 16  |
| 13  | 5~0 |                                                  |              |                        |     |
|     | 7~6 | (Limiter) Threshold                              | D8~00        | -40~0                  | 17  |
| 14  | 4~0 |                                                  |              |                        |     |
|     | 7~5 | (Limiter) Attack                                 | 01~64        | 1~100                  | 18  |
| 15  | 3~0 |                                                  |              |                        |     |
|     | 7~4 | (Limiter) Release                                | 01~64        | 1~100                  | 19  |
| 16  | 2~0 |                                                  |              |                        |     |
|     | 7~3 | (Limiter) Gain Adjust                            | D9~18        | -Inf~+24               | 20  |
| 17  | 1~0 |                                                  |              |                        |     |
+=====+=====+==================================================+==============+========================+=====+


152:Compressor // Exciter
+=====+=====+==================================================+==============+========================+=====+
| OFS | bit | parameter                                        | DATA(hex)    | Value                  | pid |
+=====+=====+==================================================+==============+========================+=====+
|  0  | 0   | Bypass                                           | 00(fixed)    | Off                    |  0  |
|     | 7~1 | (Compressor) Wet/Dry                             | 00~64        | Dry~Wet                |  1  |
|  1  | 5~0 | (Compressor) Wet/Dry Mod.Source                  | 00~25        | Off~Tempo              |  2  |
|     | 7~6 | (Compressor) Wet/Dry Mod.Intensity               | 9C~64        | -100~+100              |  3  |
|  2  | 5~0 |                                                  |              |                        |     |
|     | 7~6 | (Compressor) Input Trim                          | 00~64        | 0~100                  |  4  |
|  3  | 4~0 |                                                  |              |                        |     |
|     | 7~5 | (Compressor) Pan                                 | 00~7F        | L000~R127              |  5  |
|  4  | 3~0 |                                                  |              |                        |     |
|     | 7~4 | (Exciter) Wet/Dry                                | 00~64        | Dry~Wet                |  6  |
|  5  | 2~0 |                                                  |              |                        |     |
|     | 7~3 | (Exciter) Wet/Dry Mod.Source                     | 00~25        | Off~Tempo              |  7  |
|  6  | 0   |                                                  |              |                        |     |
|     | 7~1 | (Exciter) Wet/Dry Mod.Intensity                  | 9C~64        | -100~+100              |  8  |
|  7  | 0   |                                                  |              |                        |     |
|     | 7~1 | (Exciter) Input Trim                             | 00~64        | 0~100                  |  9  |
|  8  | 6~0 | (Exciter) Pan                                    | 00~7F        | L000~R127              | 10  |
|     | 7   | (Compressor) Sensitivity                         | 01~64        | 1~100                  | 11  |
|  9  | 5~0 |                                                  |              |                        |     |
|     | 7~6 | (Compressor) Attack                              | 01~64        | 1~100                  | 12  |
| 10  | 4~0 |                                                  |              |                        |     |
|     | 7~5 | (Compressor) Output Level                        | 00~64        | 0~100                  | 13  |
| 11  | 3~0 |                                                  |              |                        |     |
|     | 7~4 | (Compressor) Pre LEQ Gain                        | F1~0F        | -15~+15                | 14  |
| 12  | 0   |                                                  |              |                        |     |
|     | 5~1 | (Compressor) Pre HEQ Gain                        | F1~0F        | -15~+15                | 15  |
|     | 7~6 | (Exciter) Blend                                  | 9C~64        | -100~+100              | 16  |
| 13  | 5~0 |                                                  |              |                        |     |
|     | 7~6 | (Exciter) Emphasis Frequency                     | 00~46        | 0~70                   | 17  |
| 14  | 4~0 |                                                  |              |                        |     |
|     | 7~5 | (Exciter) Pre LEQ Gain                           | F1~0F        | -15~+15                | 18  |
| 15  | 1~0 |                                                  |              |                        |     |
|     | 6~2 | (Exciter) Pre HEQ Gain                           | F1~0F        | -15~+15                | 19  |
+=====+=====+==================================================+==============+========================+=====+


153:Compressor // OD/Hi-Gain
+=====+=====+==================================================+==============+========================+=====+
| OFS | bit | parameter                                        | DATA(hex)    | Value                  | pid |
+=====+=====+==================================================+==============+========================+=====+
|  0  | 0   | Bypass                                           | 00(fixed)    | Off                    |  0  |
|     | 7~1 | (Compressor) Wet/Dry                             | 00~64        | Dry~Wet                |  1  |
|  1  | 5~0 | (Compressor) Wet/Dry Mod.Source                  | 00~25        | Off~Tempo              |  2  |
|     | 7~6 | (Compressor) Wet/Dry Mod.Intensity               | 9C~64        | -100~+100              |  3  |
|  2  | 5~0 |                                                  |              |                        |     |
|     | 7~6 | (Compressor) Input Trim                          | 00~64        | 0~100                  |  4  |
|  3  | 4~0 |                                                  |              |                        |     |
|     | 7~5 | (Compressor) Pan                                 | 00~7F        | L000~R127              |  5  |
|  4  | 3~0 |                                                  |              |                        |     |
|     | 7~4 | (OD/Hi-Gain) Wet/Dry                             | 00~64        | Dry~Wet                |  6  |
|  5  | 2~0 |                                                  |              |                        |     |
|     | 7~3 | (OD/Hi-Gain) Wet/Dry Mod.Source                  | 00~25        | Off~Tempo              |  7  |
|  6  | 0   |                                                  |              |                        |     |
|     | 7~1 | (OD/Hi-Gain) Wet/Dry Mod.Intensity               | 9C~64        | -100~+100              |  8  |
|  7  | 0   |                                                  |              |                        |     |
|     | 7~1 | (OD/Hi-Gain) Input Trim                          | 64(fixed)    | 100                    |  9  |
|  8  | 6~0 | (OD/Hi-Gain) Pan                                 | 00~7F        | L000~R127              | 10  |
|     | 7   | (Compressor) Sensitivity                         | 01~64        | 1~100                  | 11  |
|  9  | 5~0 |                                                  |              |                        |     |
|     | 7~6 | (Compressor) Attack                              | 01~64        | 1~100                  | 12  |
| 10  | 4~0 |                                                  |              |                        |     |
|     | 7~5 | (Compressor) Output Level                        | 00~64        | 0~100                  | 13  |
| 11  | 3~0 |                                                  |              |                        |     |
|     | 7~4 | (Compressor) Pre LEQ Gain                        | F1~0F        | -15~+15                | 14  |
| 12  | 0   |                                                  |              |                        |     |
|     | 5~1 | (Compressor) Pre HEQ Gain                        | F1~0F        | -15~+15                | 15  |
|     | 6   | (OD/Hi-Gain) Hi-Gain On                          | 00~01        | Off~On                 | 16  |
|     | 7   | (OD/Hi-Gain) Drive                               | 01~64        | 1~100                  | 17  |
| 13  | 5~0 |                                                  |              |                        |     |
|     | 7~6 | (OD/Hi-Gain) Output Level                        | 00~32        | 0~50                   | 18  |
| 14  | 3~0 |                                                  |              |                        |     |
|     | 7~4 | (OD/Hi-Gain) Output Level Mod.Source             | 00~25        | Off~Tempo              | 19  |
| 15  | 1~0 |                                                  |              |                        |     |
|     | 7~2 | (OD/Hi-Gain) Output Level Mod.Intensity          | CE~32        | -50~+50                | 20  |
| 16  | 0   |                                                  |              |                        |     |
|     | 6~1 | (OD/Hi-Gain) EQ Low Cutoff                       | 00~31        | 20~1.00k               | 21  |
|     | 7   | (OD/Hi-Gain) EQ Low Gain                         | EE~12        | -18~+18                | 22  |
| 17  | 4~0 |                                                  |              |                        |     |
|     | 7~5 | (OD/Hi-Gain) EQ Mid1 Cutoff                      | 00~3E        | 300~10.0k              | 23  |
| 18  | 2~0 |                                                  |              |                        |     |
|     | 6~3 | (OD/Hi-Gain) EQ Mid1 Q                           | 00~0F        | 0.5~10.0               | 24  |
|     | 7   | (OD/Hi-Gain) EQ Mid1 Gain                        | EE~12        | -18~+18                | 25  |
| 19  | 4~0 |                                                  |              |                        |     |
|     | 7~5 | (OD/Hi-Gain) EQ Mid2 Cutoff                      | 00~37        | 500~20.0k              | 26  |
| 20  | 2~0 |                                                  |              |                        |     |
|     | 6~3 | (OD/Hi-Gain) EQ Mid2 Q                           | 00~0F        | 0.5~10.0               | 27  |
|     | 7   | (OD/Hi-Gain) EQ Mid2 Gain                        | EE~12        | -18~+18                | 28  |
| 21  | 4~0 |                                                  |              |                        |     |
+=====+=====+==================================================+==============+========================+=====+


154:Compressor // Wah
+=====+=====+==================================================+==============+========================+=====+
| OFS | bit | parameter                                        | DATA(hex)    | Value                  | pid |
+=====+=====+==================================================+==============+========================+=====+
|  0  | 0   | Bypass                                           | 00(fixed)    | Off                    |  0  |
|     | 7~1 | (Compressor) Wet/Dry                             | 00~64        | Dry~Wet                |  1  |
|  1  | 5~0 | (Compressor) Wet/Dry Mod.Source                  | 00~25        | Off~Tempo              |  2  |
|     | 7~6 | (Compressor) Wet/Dry Mod.Intensity               | 9C~64        | -100~+100              |  3  |
|  2  | 5~0 |                                                  |              |                        |     |
|     | 7~6 | (Compressor) Input Trim                          | 00~64        | 0~100                  |  4  |
|  3  | 4~0 |                                                  |              |                        |     |
|     | 7~5 | (Compressor) Pan                                 | 00~7F        | L000~R127              |  5  |
|  4  | 3~0 |                                                  |              |                        |     |
|     | 7~4 | (Wah) Wet/Dry                                    | 00~64        | Dry~Wet                |  6  |
|  5  | 2~0 |                                                  |              |                        |     |
|     | 7~3 | (Wah) Wet/Dry Mod.Source                         | 00~25        | Off~Tempo              |  7  |
|  6  | 0   |                                                  |              |                        |     |
|     | 7~1 | (Wah) Wet/Dry Mod.Intensity                      | 9C~64        | -100~+100              |  8  |
|  7  | 0   |                                                  |              |                        |     |
|     | 7~1 | (Wah) Input Trim                                 | 64(fixed)    | 100                    |  9  |
|  8  | 6~0 | (Wah) Pan                                        | 00~7F        | L000~R127              | 10  |
|     | 7   | (Compressor) Sensitivity                         | 01~64        | 1~100                  | 11  |
|  9  | 5~0 |                                                  |              |                        |     |
|     | 7~6 | (Compressor) Attack                              | 01~64        | 1~100                  | 12  |
| 10  | 4~0 |                                                  |              |                        |     |
|     | 7~5 | (Compressor) Output Level                        | 00~64        | 0~100                  | 13  |
| 11  | 3~0 |                                                  |              |                        |     |
|     | 7~4 | (Compressor) Pre LEQ Gain                        | F1~0F        | -15~+15                | 14  |
| 12  | 0   |                                                  |              |                        |     |
|     | 5~1 | (Compressor) Pre HEQ Gain                        | F1~0F        | -15~+15                | 15  |
|     | 7~6 | (Wah) Frequency Bottom                           | 00~64        | 0~100                  | 16  |
| 13  | 4~0 |                                                  |              |                        |     |
|     | 7~5 | (Wah) Frequency Top                              | 00~64        | 0~100                  | 17  |
| 14  | 3~0 |                                                  |              |                        |     |
|     | 5~4 | (Wah) Sweep Mode                                 | 00~02        | Auto~LFO               | 18  |
|     | 7~6 | (Wah) Sweep Mode Mod.Source                      | 00~25        | Off~Tempo              | 19  |
| 15  | 3~0 |                                                  |              |                        |     |
|     | 7~4 | (Wah) LFO Frequency                              | 01~E6        | 0.02~20.00             | 20  |
| 16  | 3~0 |                                                  |              |                        |     |
|     | 7~4 | (Wah) Resonance                                  | 00~64        | 0~100                  | 21  |
| 17  | 2~0 |                                                  |              |                        |     |
|     | 3   | (Wah) Low Pass Filter                            | 00~01        | Off~On                 | 22  |
+=====+=====+==================================================+==============+========================+=====+


155:Compressor // Chorus/Flanger
+=====+=====+==================================================+==============+========================+=====+
| OFS | bit | parameter                                        | DATA(hex)    | Value                  | pid |
+=====+=====+==================================================+==============+========================+=====+
|  0  | 0   | Bypass                                           | 00(fixed)    | Off                    |  0  |
|     | 7~1 | (Compressor) Wet/Dry                             | 00~64        | Dry~Wet                |  1  |
|  1  | 5~0 | (Compressor) Wet/Dry Mod.Source                  | 00~25        | Off~Tempo              |  2  |
|     | 7~6 | (Compressor) Wet/Dry Mod.Intensity               | 9C~64        | -100~+100              |  3  |
|  2  | 5~0 |                                                  |              |                        |     |
|     | 7~6 | (Compressor) Input Trim                          | 00~64        | 0~100                  |  4  |
|  3  | 4~0 |                                                  |              |                        |     |
|     | 7~5 | (Compressor) Pan                                 | 00~7F        | L000~R127              |  5  |
|  4  | 3~0 |                                                  |              |                        |     |
|     | 7~4 | (Chorus/Flanger) Wet/Dry                         | 9C~64        | -Wet~+Wet              |  6  |
|  5  | 3~0 |                                                  |              |                        |     |
|     | 7~4 | (Chorus/Flanger) Wet/Dry Mod.Source              | 00~25        | Off~Tempo              |  7  |
|  6  | 1~0 |                                                  |              |                        |     |
|     | 7~2 | (Chorus/Flanger) Wet/Dry Mod.Intensity           | 9C~64        | -100~+100              |  8  |
|  7  | 1~0 |                                                  |              |                        |     |
|     | 7~2 | (Chorus/Flanger) Input Trim                      | 00~64        | 0~100                  |  9  |
|  8  | 0   |                                                  |              |                        |     |
|     | 7~1 | (Chorus/Flanger) Pan                             | 00~7F        | L000~R127              | 10  |
|  9  | 6~0 | (Compressor) Sensitivity                         | 01~64        | 1~100                  | 11  |
|     | 7   | (Compressor) Attack                              | 01~64        | 1~100                  | 12  |
| 10  | 5~0 |                                                  |              |                        |     |
|     | 7~6 | (Compressor) Output Level                        | 00~64        | 0~100                  | 13  |
| 11  | 4~0 |                                                  |              |                        |     |
|     | 7~5 | (Compressor) Pre LEQ Gain                        | F1~0F        | -15~+15                | 14  |
| 12  | 1~0 |                                                  |              |                        |     |
|     | 6~2 | (Compressor) Pre HEQ Gain                        | F1~0F        | -15~+15                | 15  |
|     | 7   | (Chorus/Flanger) Pre Delay                       | 0000~0587    | 0.0~1350.0             | 16  |
| 13  |     |                                                  |              |                        |     |
| 14  | 1~0 |                                                  |              |                        |     |
|     | 2   | (Chorus/Flanger) LFO Waveform                    | 00~01        | Triangle~Sine          | 17  |
|     | 7~3 | (Chorus/Flanger) LFO Frequency                   | 01~E6        | 0.02~20.00             | 18  |
| 15  | 2~0 |                                                  |              |                        |     |
|     | 7~3 | (Chorus/Flanger) Depth                           | 00~64        | 0~100                  | 19  |
| 16  | 1~0 |                                                  |              |                        |     |
|     | 7~2 | (Chorus/Flanger) Feedback                        | 9C~64        | -100~+100              | 20  |
| 17  | 1~0 |                                                  |              |                        |     |
|     | 6~2 | (Chorus/Flanger) Pre LEQ Gain                    | F1~0F        | -15~+15                | 21  |
|     | 7   | (Chorus/Flanger) Pre HEQ Gain                    | F1~0F        | -15~+15                | 22  |
| 18  | 3~0 |                                                  |              |                        |     |
+=====+=====+==================================================+==============+========================+=====+


156:Compressor // Phaser
+=====+=====+==================================================+==============+========================+=====+
| OFS | bit | parameter                                        | DATA(hex)    | Value                  | pid |
+=====+=====+==================================================+==============+========================+=====+
|  0  | 0   | Bypass                                           | 00(fixed)    | Off                    |  0  |
|     | 7~1 | (Compressor) Wet/Dry                             | 00~64        | Dry~Wet                |  1  |
|  1  | 5~0 | (Compressor) Wet/Dry Mod.Source                  | 00~25        | Off~Tempo              |  2  |
|     | 7~6 | (Compressor) Wet/Dry Mod.Intensity               | 9C~64        | -100~+100              |  3  |
|  2  | 5~0 |                                                  |              |                        |     |
|     | 7~6 | (Compressor) Input Trim                          | 00~64        | 0~100                  |  4  |
|  3  | 4~0 |                                                  |              |                        |     |
|     | 7~5 | (Compressor) Pan                                 | 00~7F        | L000~R127              |  5  |
|  4  | 3~0 |                                                  |              |                        |     |
|     | 7~4 | (Phaser) Wet/Dry                                 | 9C~64        | -Wet~+Wet              |  6  |
|  5  | 3~0 |                                                  |              |                        |     |
|     | 7~4 | (Phaser) Wet/Dry Mod.Source                      | 00~25        | Off~Tempo              |  7  |
|  6  | 1~0 |                                                  |              |                        |     |
|     | 7~2 | (Phaser) Wet/Dry Mod.Intensity                   | 9C~64        | -100~+100              |  8  |
|  7  | 1~0 |                                                  |              |                        |     |
|     | 7~2 | (Phaser) Input Trim                              | 64(fixed)    | 100                    |  9  |
|  8  | 0   |                                                  |              |                        |     |
|     | 7~1 | (Phaser) Pan                                     | 00~7F        | L000~R127              | 10  |
|  9  | 6~0 | (Compressor) Sensitivity                         | 01~64        | 1~100                  | 11  |
|     | 7   | (Compressor) Attack                              | 01~64        | 1~100                  | 12  |
| 10  | 5~0 |                                                  |              |                        |     |
|     | 7~6 | (Compressor) Output Level                        | 00~64        | 0~100                  | 13  |
| 11  | 4~0 |                                                  |              |                        |     |
|     | 7~5 | (Compressor) Pre LEQ Gain                        | F1~0F        | -15~+15                | 14  |
| 12  | 1~0 |                                                  |              |                        |     |
|     | 6~2 | (Compressor) Pre HEQ Gain                        | F1~0F        | -15~+15                | 15  |
|     | 7   | (Phaser) LFO Waveform                            | 00~01        | Triangle~Sine          | 16  |
| 13  |     | (Phaser) LFO Frequency                           | 01~E6        | 0.02~20.00             | 17  |
| 14  | 6~0 | (Phaser) Manual                                  | 00~64        | 0~100                  | 18  |
|     | 7   | (Phaser) Depth                                   | 00~64        | 0~100                  | 19  |
| 15  | 5~0 |                                                  |              |                        |     |
|     | 7~6 | (Phaser) Resonance                               | 9C~64        | -100~+100              | 20  |
| 16  | 5~0 |                                                  |              |                        |     |
+=====+=====+==================================================+==============+========================+=====+


157:Compressor // Multitap BPM Delay
+=====+=====+==================================================+==============+========================+=====+
| OFS | bit | parameter                                        | DATA(hex)    | Value                  | pid |
+=====+=====+==================================================+==============+========================+=====+
|  0  | 0   | Bypass                                           | 00(fixed)    | Off                    |  0  |
|     | 7~1 | (Compressor) Wet/Dry                             | 00~64        | Dry~Wet                |  1  |
|  1  | 5~0 | (Compressor) Wet/Dry Mod.Source                  | 00~25        | Off~Tempo              |  2  |
|     | 7~6 | (Compressor) Wet/Dry Mod.Intensity               | 9C~64        | -100~+100              |  3  |
|  2  | 5~0 |                                                  |              |                        |     |
|     | 7~6 | (Compressor) Input Trim                          | 00~64        | 0~100                  |  4  |
|  3  | 4~0 |                                                  |              |                        |     |
|     | 7~5 | (Compressor) Pan                                 | 00~7F        | L000~R127              |  5  |
|  4  | 3~0 |                                                  |              |                        |     |
|     | 7~4 | (Multitap BPM Delay) Wet/Dry                     | 00~64        | Dry~Wet                |  6  |
|  5  | 2~0 |                                                  |              |                        |     |
|     | 7~3 | (Multitap BPM Delay) Wet/Dry Mod.Source          | 00~25        | Off~Tempo              |  7  |
|  6  | 0   |                                                  |              |                        |     |
|     | 7~1 | (Multitap BPM Delay) Wet/Dry Mod.Intensity       | 9C~64        | -100~+100              |  8  |
|  7  | 0   |                                                  |              |                        |     |
|     | 7~1 | (Multitap BPM Delay) Input Trim                  | 64(fixed)    | 100                    |  9  |
|  8  | 6~0 | (Multitap BPM Delay) Pan                         | 00~7F        | L000~R127              | 10  |
|     | 7   | (Compressor) Sensitivity                         | 01~64        | 1~100                  | 11  |
|  9  | 5~0 |                                                  |              |                        |     |
|     | 7~6 | (Compressor) Attack                              | 01~64        | 1~100                  | 12  |
| 10  | 4~0 |                                                  |              |                        |     |
|     | 7~5 | (Compressor) Output Level                        | 00~64        | 0~100                  | 13  |
| 11  | 3~0 |                                                  |              |                        |     |
|     | 7~4 | (Compressor) Pre LEQ Gain                        | F1~0F        | -15~+15                | 14  |
| 12  | 0   |                                                  |              |                        |     |
|     | 5~1 | (Compressor) Pre HEQ Gain                        | F1~0F        | -15~+15                | 15  |
|     | 7~6 | (Multitap BPM Delay) BPM                         | 0F9F~7530    | MIDI~300.00            | 16  |
| 13  |     |                                                  |              |                        |     |
| 14  | 4~0 |                                                  |              |                        |     |
|     | 7~5 | (Multitap BPM Delay) Tap1 Base Note              | 00~09        | 1/32~1/1               | 17  |
| 15  | 0   |                                                  |              |                        |     |
|     | 6~1 | (Multitap BPM Delay) Tap1 Times                  | 01~20        | 1~32                   | 18  |
|     | 7   | (Multitap BPM Delay) Tap2 Base Note              | 00~09        | 1/32~1/1               | 19  |
| 16  | 2~0 |                                                  |              |                        |     |
|     | 7~3 | (Multitap BPM Delay) Tap2 Times                  | 01~20        | 1~32                   | 20  |
| 17  | 0   |                                                  |              |                        |     |
|     | 7~1 | (Multitap BPM Delay) Tap1 Level                  | 00~64        | 0~100                  | 21  |
| 18  |     | (Multitap BPM Delay) Tap2 Feedback               | 9C~64        | -100~+100              | 22  |
| 19  | 6~0 | (Multitap BPM Delay) High Damp                   | 00~64        | 0~100                  | 23  |
+=====+=====+==================================================+==============+========================+=====+


158:Limiter // Limiter
+=====+=====+==================================================+==============+========================+=====+
| OFS | bit | parameter                                        | DATA(hex)    | Value                  | pid |
+=====+=====+==================================================+==============+========================+=====+
|  0  | 0   | Bypass                                           | 00(fixed)    | Off                    |  0  |
|     | 7~1 | (Effect1) Wet/Dry                                | 00~64        | Dry~Wet                |  1  |
|  1  | 5~0 | (Effect1) Wet/Dry Mod.Source                     | 00~25        | Off~Tempo              |  2  |
|     | 7~6 | (Effect1) Wet/Dry Mod.Intensity                  | 9C~64        | -100~+100              |  3  |
|  2  | 5~0 |                                                  |              |                        |     |
|     | 7~6 | (Effect1) Input Trim                             | 64(fixed)    | 100                    |  4  |
|  3  | 4~0 |                                                  |              |                        |     |
|     | 7~5 | (Effect1) Pan                                    | 00~7F        | L000~R127              |  5  |
|  4  | 3~0 |                                                  |              |                        |     |
|     | 7~4 | (Effect2) Wet/Dry                                | 00~64        | Dry~Wet                |  6  |
|  5  | 2~0 |                                                  |              |                        |     |
|     | 7~3 | (Effect2) Wet/Dry Mod.Source                     | 00~25        | Off~Tempo              |  7  |
|  6  | 0   |                                                  |              |                        |     |
|     | 7~1 | (Effect2) Wet/Dry Mod.Intensity                  | 9C~64        | -100~+100              |  8  |
|  7  | 0   |                                                  |              |                        |     |
|     | 7~1 | (Effect2) Input Trim                             | 64(fixed)    | 100                    |  9  |
|  8  | 6~0 | (Effect2) Pan                                    | 00~7F        | L000~R127              | 10  |
|     | 7   | (Effect1) Ratio                                  | 00~83        | 1.0:1~Inf:1            | 11  |
|  9  | 6~0 |                                                  |              |                        |     |
|     | 7   | (Effect1) Threshold                              | D8~00        | -40~0                  | 12  |
| 10  | 5~0 |                                                  |              |                        |     |
|     | 7~6 | (Effect1) Attack                                 | 01~64        | 1~100                  | 13  |
| 11  | 4~0 |                                                  |              |                        |     |
|     | 7~5 | (Effect1) Release                                | 01~64        | 1~100                  | 14  |
| 12  | 3~0 |                                                  |              |                        |     |
|     | 7~4 | (Effect1) Gain Adjust                            | D9~18        | -Inf~+24               | 15  |
| 13  | 2~0 |                                                  |              |                        |     |
