Song Control Size: 5264 byte
Object Version: 0
+=======+=====+=======================+============================================+==============+====================+===+===+===+===+===+
| OFS   | bit | parameter             | parameter                                  | data(hex)    | value              |TYP|SOC|SUB|PID|IDX|
|   221 | 5   | MIDI Track 06         | Mute                                       | 00~01        | Off~On             |  4|  5|  0| 14|  0|
|       | 6   | MIDI Track 06         | Intro                                      | 00~01        | Off~On             |   |   |   |   |   |
|       | 7   | MIDI Track 06         | Loop                                       | 00~01        | Off~On             |   |   |   |   |   |
|   222 |     |                       | (Reserved)                                 |              |                    |   |   |   |   |   |
|   223 |     |                       | (Reserved)                                 |              |                    |   |   |   |   |   |
|   224 |     | MIDI Track 06         | Loop Start Measure                         | 000~~3E7     | 0~999              |   |   |   |   |   |
|   225 |     |                       |                                            |              |                    |   |   |   |   |   |
|   226 |     | MIDI Track 06         | Loop End Measure                           | 000~~3E7     | 0~999              |   |   |   |   |   |
|   227 |     |                       |                                            |              |                    |   |   |   |   |   |
+=======+=====+=======================+============================================+==============+====================+===+===+===+===+===+
|   228 |     | MIDI Track 07         | Event Offset                               | 000000~249EF8| 0~2399992          |   |   |   |   |   |
|   229 |     |                       |                                            |              |                    |   |   |   |   |   |
|   230 |     |                       |                                            |              |                    |   |   |   |   |   |
|   231 |     |                       |                                            |              |                    |   |   |   |   |   |
|   232 |     | MIDI Track 07         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   233 |     | MIDI Track 07         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   234 |     | MIDI Track 07         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   235 |     | MIDI Track 07         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   236 |     | MIDI Track 07         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   237 |     | MIDI Track 07         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   238 |     | MIDI Track 07         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   239 |     | MIDI Track 07         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   240 |     | MIDI Track 07         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   241 |     | MIDI Track 07         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   242 |     | MIDI Track 07         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   243 |     | MIDI Track 07         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   244 |     | MIDI Track 07         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   245 |     | MIDI Track 07         | Name                                       | 20~7F        |                    |   |   |   |   |   |
|   246 |     | MIDI Track 07         | Name                                       | 20~7F        |                    |   |   |   |   |   |
