0:Off


1:HD-1


2:AL-1, Number Of Param. = 609
+======+=====+=====================================================+==============+====================+=====+===+===+===+===+
| OFS  | bit | parameter                                           | data(hex)    | value              | TYP |SOC|SUB|PID|IDX|
|      | 7   | [Filter B] Cutoff                                   | 00~63        | 0~99               |11/12| 41|  0| 47|  0|
|  889 | 5~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~6 | [Filter B] Cutoff Fine                              | 9D~63        | -99~+99            |11/12| 41|  0| 48|  0|
|  890 | 5~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~6 | [Filter B] Resonance                                | 00~63        | 0~99               |11/12| 41|  0| 49|  0|
|  891 | 4~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~5 | [Filter B] Resonance Mod.Source                     | 00~3F        | Off~Tempo          |11/12| 41|  0| 50|  0|
|  892 | 4~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~5 | [Filter B] Resonance Mod.Intensity                  | 9D~63        | -99~+99            |11/12| 41|  0| 51|  0|
|  893 | 4~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~5 | [Filter B] Output                                   | 00~64        | 0~100              |11/12| 41|  0| 52|  0|
|  894 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [Filter B] Output Mod.Source                        | 00~3F        | Off~Tempo          |11/12| 41|  0| 53|  0|
|  895 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [Filter B] Output Mod.Intensity                     | 9C~64        | -100~+100          |11/12| 41|  0| 54|  0|
|  896 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 4   | [Filter B] Output Mod.Mode                          | 00~01        | Add~Multiply       |11/12| 41|  0| 55|  0|
|      | 5   | [Filter B] Resonance Bass                           | 00~01        | Full~Tight         |11/12| 41|  0| 56|  0|
|      | 7~6 | [Filter B] Keyboard Track                           | 9D~63        | -99~+99            |11/12| 41|  0| 57|  0|
|  897 | 5~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~6 | [Filter B] EG Select                                | 00~09        | EG1~Amp EG         |11/12| 41|  0| 58|  0|
|  898 | 1~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~2 | [Filter B] EG Velocity Intensity                    | 9D~63        | -99~+99            |11/12| 41|  0| 59|  0|
|  899 | 1~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~2 | [Filter B] EG Intensity                             | 9D~63        | -99~+99            |11/12| 41|  0| 60|  0|
|  900 | 1~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~2 | [Filter B] EG Int.Mod.Source                        | 00~3F        | Off~Tempo          |11/12| 41|  0| 61|  0|
|  901 | 1~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~2 | [Filter B] EG Int.Mod.Intensity                     | 9D~63        | -99~+99            |11/12| 41|  0| 62|  0|
|  902 | 1~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~2 | [Filter B] Cutoff Mod.1 Source                      | 00~3F        | Off~Tempo          |11/12| 41|  0| 63|  0|
|  903 | 1~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~2 | [Filter B] Cutoff Mod.1 Intensity                   | 9D~63        | -99~+99            |11/12| 41|  0| 64|  0|
|  904 | 1~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~2 | [Filter B] Cutoff Mod.1 Int.Mod.Source              | 00~3F        | Off~Tempo          |11/12| 41|  0| 65|  0|
|  905 | 1~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~2 | [Filter B] Cutoff Mod.1 Int.Mod.Intensity           | 9D~63        | -99~+99            |11/12| 41|  0| 66|  0|
|  906 | 1~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~2 | [Filter B] Cutoff Mod.2 Source                      | 00~3F        | Off~Tempo          |11/12| 41|  0| 67|  0|
|  907 | 1~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~2 | [Filter B] Cutoff Mod.2 Intensity                   | 9D~63        | -99~+99            |11/12| 41|  0| 68|  0|
|  908 | 1~0 |                                                     |              |                    |     |   |   |   |   |
|      | 4~2 | [Filter B] LFO Select                               | 00~04        | LFO1~Common LFO    |11/12| 41|  0| 69|  0|
|      | 7~5 | [Filter B] LFO Intensity                            | 9D~63        | -99~+99            |11/12| 41|  0| 70|  0|
|  909 | 4~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~5 | [Filter B] LFO JS(-Y) Intensity                     | 9D~63        | -99~+99            |11/12| 41|  0| 71|  0|
|  910 | 4~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~5 | [Filter B] LFO Int.Mod.Source                       | 00~3F        | Off~Tempo          |11/12| 41|  0| 72|  0|
|  911 | 4~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~5 | [Filter B] LFO Int.Mod.Intensity                    | 9D~63        | -99~+99            |11/12| 41|  0| 73|  0|
|  912 | 4~0 |                                                     |              |                    |     |   |   |   |   |
|      | 5   | [Filter B] Link                                     | 00~01        | Off~On             |11/12| 41|  0| 74|  0|
|      | 7~6 | [Filter B] Link Cutoff Offset                       | 9D~63        | -99~+99            |11/12| 41|  0| 75|  0|
|  913 | 5~0 |                                                     |              |                    |     |   |   |   |   |
|      | 6   | [Filter B] Resonance Type                           | 00~01        | Standard~High      |11/12| 41|  0| 76|  0|
|  914 | 6~0 | [Filter Keyboard Track] Low Key                     | 00~7F        | C-1~G9             |11/12| 41|  1|  0|  0|
|      | 7   | [Filter Keyboard Track] Center Key                  | 00~7F        | C-1~G9             |11/12| 41|  1|  1|  0|
|  915 | 5~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~6 | [Filter Keyboard Track] High Key                    | 00~7F        | C-1~G9             |11/12| 41|  1|  2|  0|
|  916 | 4~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~5 | [Filter Keyboard Track] Low Ramp                    | 9C~64        | -Inf~+Inf          |11/12| 41|  1|  3|  0|
|  917 | 4~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~5 | [Filter Keyboard Track] Center Low Ramp             | 9C~64        | -Inf~+Inf          |11/12| 41|  1|  4|  0|
|  918 | 4~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~5 | [Filter Keyboard Track] Center High Ramp            | 9C~64        | -Inf~+Inf          |11/12| 41|  1|  5|  0|
|  919 | 4~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~5 | [Filter Keyboard Track] High Ramp                   | 9C~64        | -Inf~+Inf          |11/12| 41|  1|  6|  0|
|  920 | 4~0 |                                                     |              |                    |     |   |   |   |   |
|  921 | 6~0 | [Output Mixer] Mixer1 Level                         | 00~64        | 0~100              |11/12| 42|  0|  0|  0|
|      | 7   | [Output Mixer] Mixer2 Level                         | 00~64        | 0~100              |11/12| 42|  0|  0|  1|
|  922 | 5~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~6 | [Output Mixer] Mixer3 Level                         | 00~64        | 0~100              |11/12| 42|  0|  0|  2|
|  923 | 4~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~5 | [Output Mixer] Mixer4 Level                         | 00~64        | 0~100              |11/12| 42|  0|  0|  3|
|  924 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [Output Mixer] Mixer5 Level                         | 00~64        | 0~100              |11/12| 42|  0|  0|  4|
|  925 | 2~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~3 | [Output Mixer] Mixer6 Level                         | 00~64        | 0~100              |11/12| 42|  0|  0|  5|
|  926 | 1~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~2 | [Output Mixer] Mixer1 Level Mod.Source              | 00~3F        | Off~Tempo          |11/12| 42|  0|  1|  0|
|  927 | 1~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~2 | [Output Mixer] Mixer2 Level Mod.Source              | 00~3F        | Off~Tempo          |11/12| 42|  0|  1|  1|
|  928 | 1~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~2 | [Output Mixer] Mixer3 Level Mod.Source              | 00~3F        | Off~Tempo          |11/12| 42|  0|  1|  2|
|  929 | 1~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~2 | [Output Mixer] Mixer4 Level Mod.Source              | 00~3F        | Off~Tempo          |11/12| 42|  0|  1|  3|
|  930 | 1~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~2 | [Output Mixer] Mixer5 Level Mod.Source              | 00~3F        | Off~Tempo          |11/12| 42|  0|  1|  4|
|  931 | 1~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~2 | [Output Mixer] Mixer6 Level Mod.Source              | 00~3F        | Off~Tempo          |11/12| 42|  0|  1|  5|
|  932 | 1~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~2 | [Output Mixer] Mixer1 Level Mod.Intensity           | 9C~64        | -100~+100          |11/12| 42|  0|  2|  0|
|  933 | 1~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~2 | [Output Mixer] Mixer2 Level Mod.Intensity           | 9C~64        | -100~+100          |11/12| 42|  0|  2|  1|
|  934 | 1~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~2 | [Output Mixer] Mixer3 Level Mod.Intensity           | 9C~64        | -100~+100          |11/12| 42|  0|  2|  2|
|  935 | 1~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~2 | [Output Mixer] Mixer4 Level Mod.Intensity           | 9C~64        | -100~+100          |11/12| 42|  0|  2|  3|
|  936 | 1~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~2 | [Output Mixer] Mixer5 Level Mod.Intensity           | 9C~64        | -100~+100          |11/12| 42|  0|  2|  4|
|  937 | 1~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~2 | [Output Mixer] Mixer6 Level Mod.Intensity           | 9C~64        | -100~+100          |11/12| 42|  0|  2|  5|
|  938 | 1~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~2 | [Output Mixer] Mixer1 Pan                           | 00~7F        | L000~R127          |11/12| 42|  0|  3|  0|
|  939 | 0   |                                                     |              |                    |     |   |   |   |   |
|      | 7~1 | [Output Mixer] Mixer2 Pan                           | 00~7F        | L000~R127          |11/12| 42|  0|  3|  1|
|  940 | 6~0 | [Output Mixer] Mixer3 Pan                           | 00~7F        | L000~R127          |11/12| 42|  0|  3|  2|
|      | 7   | [Output Mixer] Mixer4 Pan                           | 00~7F        | L000~R127          |11/12| 42|  0|  3|  3|
|  941 | 5~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~6 | [Output Mixer] Mixer5 Pan                           | 00~7F        | L000~R127          |11/12| 42|  0|  3|  4|
|  942 | 4~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~5 | [Output Mixer] Mixer6 Pan                           | 00~7F        | L000~R127          |11/12| 42|  0|  3|  5|
|  943 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [Output Mixer] Mixer1 Pan Mod.Source                | 00~3F        | Off~Tempo          |11/12| 42|  0|  4|  0|
|  944 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [Output Mixer] Mixer2 Pan Mod.Source                | 00~3F        | Off~Tempo          |11/12| 42|  0|  4|  1|
|  945 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [Output Mixer] Mixer3 Pan Mod.Source                | 00~3F        | Off~Tempo          |11/12| 42|  0|  4|  2|
|  946 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [Output Mixer] Mixer4 Pan Mod.Source                | 00~3F        | Off~Tempo          |11/12| 42|  0|  4|  3|
|  947 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [Output Mixer] Mixer5 Pan Mod.Source                | 00~3F        | Off~Tempo          |11/12| 42|  0|  4|  4|
|  948 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [Output Mixer] Mixer6 Pan Mod.Source                | 00~3F        | Off~Tempo          |11/12| 42|  0|  4|  5|
|  949 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [Output Mixer] Mixer1 Pan Mod.Intensity             | 81~7F        | -127~+127          |11/12| 42|  0|  5|  0|
|  950 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [Output Mixer] Mixer2 Pan Mod.Intensity             | 81~7F        | -127~+127          |11/12| 42|  0|  5|  1|
|  951 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [Output Mixer] Mixer3 Pan Mod.Intensity             | 81~7F        | -127~+127          |11/12| 42|  0|  5|  2|
|  952 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [Output Mixer] Mixer4 Pan Mod.Intensity             | 81~7F        | -127~+127          |11/12| 42|  0|  5|  3|
|  953 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [Output Mixer] Mixer5 Pan Mod.Intensity             | 81~7F        | -127~+127          |11/12| 42|  0|  5|  4|
|  954 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [Output Mixer] Mixer6 Pan Mod.Intensity             | 81~7F        | -127~+127          |11/12| 42|  0|  5|  5|
|  955 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 4   | [Output Mixer] Mixer1 Phase Invert                  | 00~01        | Off~On             |11/12| 42|  0|  6|  0|
|      | 5   | [Output Mixer] Mixer2 Phase Invert                  | 00~01        | Off~On             |11/12| 42|  0|  6|  1|
|      | 6   | [Output Mixer] Mixer3 Phase Invert                  | 00~01        | Off~On             |11/12| 42|  0|  6|  2|
|      | 7   | [Output Mixer] Mixer4 Phase Invert                  | 00~01        | Off~On             |11/12| 42|  0|  6|  3|
|  956 | 0   | [Output Mixer] Mixer5 Phase Invert                  | 00~01        | Off~On             |11/12| 42|  0|  6|  4|
|      | 1   | [Output Mixer] Mixer6 Phase Invert                  | 00~01        | Off~On             |11/12| 42|  0|  6|  5|
|  957 | 6~0 | [Amplifier] Level                                   | 00~7F        | 0~127              |11/12| 43|  0|  0|  0|
|      | 7   | [Amplifier] Velocity Intensity                      | 9D~63        | -99~+99            |11/12| 43|  0|  1|  0|
|  958 | 6~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7   | [Amplifier] Mod.1 Source                            | 00~3F        | Off~Tempo          |11/12| 43|  0|  2|  0|
|  959 | 6~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7   | [Amplifier] Mod.2 Source                            | 00~3F        | Off~Tempo          |11/12| 43|  0|  2|  1|
|  960 | 6~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7   | [Amplifier] Mod.1 Intensity                         | 9D~63        | -99~+99            |11/12| 43|  0|  3|  0|
|  961 | 6~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7   | [Amplifier] Mod.2 Intensity                         | 9D~63        | -99~+99            |11/12| 43|  0|  3|  1|
|  962 | 6~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7   | [Amplifier] Mod.1 Int.Mod.Source                    | 00~3F        | Off~Tempo          |11/12| 43|  0|  4|  0|
|  963 | 6~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7   | [Amplifier] Mod.2 Int.Mod.Source                    | 00~3F        | Off~Tempo          |11/12| 43|  0|  4|  1|
|  964 | 6~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7   | [Amplifier] Mod.1 Int.Mod.Intensity                 | 9D~63        | -99~+99            |11/12| 43|  0|  5|  0|
|  965 | 6~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7   | [Amplifier] Mod.2 Int.Mod.Intensity                 | 9D~63        | -99~+99            |11/12| 43|  0|  5|  1|
|  966 | 6~0 |                                                     |              |                    |     |   |   |   |   |
|  967 | 6~0 | [Amplifier Keyboard Track] Low Key                  | 00~7F        | C-1~G9             |11/12| 43|  1|  0|  0|
|      | 7   | [Amplifier Keyboard Track] Center Key               | 00~7F        | C-1~G9             |11/12| 43|  1|  1|  0|
|  968 | 5~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~6 | [Amplifier Keyboard Track] High Key                 | 00~7F        | C-1~G9             |11/12| 43|  1|  2|  0|
|  969 | 4~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~5 | [Amplifier Keyboard Track] Low Ramp                 | 9C~64        | -Inf~+Inf          |11/12| 43|  1|  3|  0|
|  970 | 4~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~5 | [Amplifier Keyboard Track] Center Low Ramp          | 9C~64        | -Inf~+Inf          |11/12| 43|  1|  4|  0|
|  971 | 4~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~5 | [Amplifier Keyboard Track] Center High Ramp         | 9C~64        | -Inf~+Inf          |11/12| 43|  1|  5|  0|
|  972 | 4~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~5 | [Amplifier Keyboard Track] High Ramp                | 9C~64        | -Inf~+Inf          |11/12| 43|  1|  6|  0|
|  973 | 4~0 |                                                     |              |                    |     |   |   |   |   |
|  974 | 6~0 | [OSC] Delay Start                                   | 00~61        | 0~Off              |11/12|127|  0|  0|  0|
|      | 7   | [OSC] Algorithm                                     | 00~4E        | Blank Patch~DX 32  |11/12|127|  0|  1|  0|
|  975 | 5~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~6 | [Input Jack] OSC1 In1                               | 00~0E        | No Connect~Filter B|11/12|127|  0|  2|  0|
|  976 | 1~0 |                                                     |              |                    |     |   |   |   |   |
|      | 5~2 | [Input Jack] OSC1 In2                               | 00~0E        | No Connect~Filter B|11/12|127|  0|  2|  1|
|      | 7~6 | [Input Jack] OSC2 In1                               | 00~0E        | No Connect~Filter B|11/12|127|  0|  2|  2|
|  977 | 1~0 |                                                     |              |                    |     |   |   |   |   |
|      | 5~2 | [Input Jack] OSC2 In2                               | 00~0E        | No Connect~Filter B|11/12|127|  0|  2|  3|
|      | 7~6 | [Input Jack] OSC3 In1                               | 00~0E        | No Connect~Filter B|11/12|127|  0|  2|  4|
|  978 | 1~0 |                                                     |              |                    |     |   |   |   |   |
|      | 5~2 | [Input Jack] OSC3 In2                               | 00~0E        | No Connect~Filter B|11/12|127|  0|  2|  5|
|      | 7~6 | [Input Jack] OSC4 In1                               | 00~0E        | No Connect~Filter B|11/12|127|  0|  2|  6|
|  979 | 1~0 |                                                     |              |                    |     |   |   |   |   |
|      | 5~2 | [Input Jack] OSC4 In2                               | 00~0E        | No Connect~Filter B|11/12|127|  0|  2|  7|
|      | 7~6 | [Input Jack] OSC5 In1                               | 00~0E        | No Connect~Filter B|11/12|127|  0|  2|  8|
|  980 | 1~0 |                                                     |              |                    |     |   |   |   |   |
|      | 5~2 | [Input Jack] OSC5 B                                 | 00~0E        | No Connect~Filter B|11/12|127|  0|  2|  9|
|      | 7~6 | [Input Jack] OSC6 In1                               | 00~0E        | No Connect~Filter B|11/12|127|  0|  2| 10|
|  981 | 1~0 |                                                     |              |                    |     |   |   |   |   |
|      | 5~2 | [Input Jack] OSC6 In2                               | 00~0E        | No Connect~Filter B|11/12|127|  0|  2| 11|
|      | 7~6 | [Input Jack] Mixer1 In1                             | 00~0E        | No Connect~Filter B|11/12|127|  0|  2| 12|
|  982 | 1~0 |                                                     |              |                    |     |   |   |   |   |
|      | 5~2 | [Input Jack] Mixer1 In2                             | 00~0E        | No Connect~Filter B|11/12|127|  0|  2| 13|
|      | 7~6 | [Input Jack] Mixer2 In1                             | 00~0E        | No Connect~Filter B|11/12|127|  0|  2| 14|
|  983 | 1~0 |                                                     |              |                    |     |   |   |   |   |
|      | 5~2 | [Input Jack] Mixer2 In2                             | 00~0E        | No Connect~Filter B|11/12|127|  0|  2| 15|
|      | 7~6 | [Input Jack] Mixer3 In1                             | 00~0E        | No Connect~Filter B|11/12|127|  0|  2| 16|
|  984 | 1~0 |                                                     |              |                    |     |   |   |   |   |
|      | 5~2 | [Input Jack] Mixer3 In2                             | 00~0E        | No Connect~Filter B|11/12|127|  0|  2| 17|
|      | 7~6 | [Input Jack] Filter A                               | 00~0E        | No Connect~Filter B|11/12|127|  0|  2| 18|
|  985 | 1~0 |                                                     |              |                    |     |   |   |   |   |
|      | 5~2 | [Input Jack] Filter B                               | 00~0E        | No Connect~Filter B|11/12|127|  0|  2| 19|
|      | 7~6 | [Input Jack] Output Mixer1                          | 00~0E        | No Connect~Filter B|11/12|127|  0|  2| 20|
|  986 | 1~0 |                                                     |              |                    |     |   |   |   |   |
|      | 5~2 | [Input Jack] Output Mixer2                          | 00~0E        | No Connect~Filter B|11/12|127|  0|  2| 21|
|      | 7~6 | [Input Jack] Output Mixer3                          | 00~0E        | No Connect~Filter B|11/12|127|  0|  2| 22|
|  987 | 1~0 |                                                     |              |                    |     |   |   |   |   |
|      | 5~2 | [Input Jack] Output Mixer4                          | 00~0E        | No Connect~Filter B|11/12|127|  0|  2| 23|
|      | 7~6 | [Input Jack] Output Mixer5                          | 00~0E        | No Connect~Filter B|11/12|127|  0|  2| 24|
|  988 | 1~0 |                                                     |              |                    |     |   |   |   |   |
|      | 5~2 | [Input Jack] Output Mixer6                          | 00~0E        | No Connect~Filter B|11/12|127|  0|  2| 25|
|      | 7~6 | [Pitch] Analog                                      | 00~64        | 0~100              |11/12|127|  0|  3|  0|
|  989 | 4~0 |                                                     |              |                    |     |   |   |   |   |
|      | 5   | [Mixer] Inter-Mixer Link 1->2                       | 00~01        | Off~On             |11/12|127|  0|  4|  0|
|      | 6   | [Mixer] Inter-Mixer Link 1->2                       | 00~01        | Off~On             |11/12|127|  0|  4|  1|
|      | 7   | [Macro] Brightness                                  | 9C~64        | -100~+100          |11/12|127|  0|  5|  0|
|  990 | 6~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7   | [Macro] Brightness Velocity Sensitivity             | 9C~64        | -100~+100          |11/12|127|  0|  6|  0|
|  991 | 6~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7   | [Macro] Timbre                                      | 9C~64        | -100~+100          |11/12|127|  0|  7|  0|
|  992 | 6~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7   | [Macro] Feedback                                    | 9C~64        | -100~+100          |11/12|127|  0|  8|  0|
|  993 | 6~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7   | [Macro] Detune                                      | 9C~64        | -100~+100          |11/12|127|  0|  9|  0|
|  994 | 6~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7   | [Macro] OSC1 Class                                  | 00~01        | Carrier~Modulator  |11/12|127|  0| 10|  0|
|  995 | 0   | [Macro] OSC2 Class                                  | 00~01        | Carrier~Modulator  |11/12|127|  0| 10|  1|
|      | 1   | [Macro] OSC3 Class                                  | 00~01        | Carrier~Modulator  |11/12|127|  0| 10|  2|
|      | 2   | [Macro] OSC4 Class                                  | 00~01        | Carrier~Modulator  |11/12|127|  0| 10|  3|
|      | 3   | [Macro] OSC5 Class                                  | 00~01        | Carrier~Modulator  |11/12|127|  0| 10|  4|
|      | 4   | [Macro] OSC6 Class                                  | 00~01        | Carrier~Modulator  |11/12|127|  0| 10|  5|
|  996 | 6~0 | [Audio In] Level                                    | 00~64        | 0~100              |11/12| 29|  0|  0|  0|
|      | 7   | [Audio In] Level Mod.Source                         | 00~3F        | Off~Tempo          |11/12| 29|  0|  1|  0|
|  997 | 6~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7   | [Audio In] Level Mod.Intensity                      | 9C~64        | -100~+100          |11/12| 29|  0|  2|  0|
|  998 | 6~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7   | [Audio In] Level Mod.Mode                           | 00~01        | Add~Multiply       |11/12| 29|  0|  3|  0|
+======+=====+=====================================================+==============+====================+=====+===+===+===+===+


8:SGX-2, Number Of Param. = 23
+======+=====+=========================================+==============+====================+=====+===+===+===+===+
| OFS  | bit | parameter                               | data(hex)    | value              | TYP |SOC|SUB|PID|IDX|
+======+=====+=========================================+==============+====================+=====+===+===+===+===+
|    0 |     | [User Param] Piano Type                 | 0000~00FF    | 0~255              |11/12|127|  0|  1|  0|
|    1 |     |                                         |              |                    |     |   |   |   |   |
|    2 | 6~0 | [User Param] Patch Level                | 00~7F        | 0~127              |11/12|  3|  0|  6|  0|
|      | 7   | [User Param] Transpose                  | F4~0C        | -12~+12            |11/12| 12|  0|  0|  0|
|    3 | 3~0 |                                         |              |                    |     |   |   |   |   |
|      | 5~4 | [User Param] Octave                     | FE~01        | -2~+1              |11/12| 12|  0|  1|  0|
|      | 7~6 | [User Param] Amp Vel. Int.              | 9C~64        | -100~+100          |11/12|127|  0| 15|  0|
|    4 | 5~0 |                                         |              |                    |     |   |   |   |   |
|      | 7~6 | [User Param] Release Time               | 9C~64        | -100~+100          |11/12|127|  0| 16|  0|
|    5 | 5~0 |                                         |              |                    |     |   |   |   |   |
|      | 7~6 | [User Param] Velocity Bias              | 9C~64        | -100~+100          |11/12| 12|  0| 23|  0|
|    6 | 5~0 |                                         |              |                    |     |   |   |   |   |
|      | 7~6 | [User Param] Lid Position               | 00~64        | 0~100              |11/12| 13|  0|  8|  0|
|    7 | 4~0 |                                         |              |                    |     |   |   |   |   |
|      | 5   | [User Param] St. Perspective            | 00~01        | Player~Audience    |11/12|127|  0|  2|  0|
|      | 6   | [User Param] Una Corda On               | 00~01        | 0~1                |11/12| 12|  0| 22|  0|
|      | 7   | [User Param] Resonance On               | 00~01        | 0~1                |11/12| 12|  0| 17|  0|
|    8 | 6~0 | [User Param] Resonance Level            | D0~06        | -48~+6             |11/12| 12|  0| 18|  0|
|      | 7   | [User Param] Release Sample Enable      | 00~01        | 0~1                |11/12| 12|  0| 27|  0|
|    9 | 6~0 | [User Param] Release Sample Level       | D0~06        | -48~+6             |11/12| 12|  0| 28|  0|
|      | 7   | [User Param] Key Off Noise Enable       | 00~01        | 0~1                |11/12| 12|  0| 25|  0|
|   10 | 6~0 | [User Param] Key Off Noise Level        | D0~06        | -48~+6             |11/12| 12|  0| 26|  0|
|      | 7   | [User Param] Sustain Pedal Noise Enable | 00~01        | 0~1                |11/12|127|  0|  3|  0|
|   11 | 6~0 | [User Param] Sustain Pedal Noise Level  | D0~06        | -48~+6             |11/12|127|  0|  4|  0|
|      | 7   | [User Param] Pan                        | 00~7F        | RND~R127           |11/12|  3|  0|  3|  0|
|   12 | 5~0 |                                         |              |                    |     |   |   |   |   |
|      | 7~6 | [User Param] Voice Delay                | 00~61        | 0~97               |11/12|127|  0|  0|  0|
|   13 | 4~0 |                                         |              |                    |     |   |   |   |   |
|      | 5   | [User Param] String Resonance Enable    | 00~01        | 0~1                |11/12| 12|  0| 53|  0|
|      | 7~6 | [User Param] String Resonance Depth     | 00~7F        | 0~+127             |11/12| 12|  0| 54|  0|
|   14 | 4~0 |                                         |              |                    |     |   |   |   |   |
|      | 5   | [User Param] String Resonance Mode      | 00~01        | use Main Osc only~u|11/12| 12|  0| 55|  0|
+======+=====+=========================================+==============+====================+=====+===+===+===+===+


9:EP-1, Number Of Param. = 183
+======+=====+==================================================+==============+====================+=====+===+===+===+===+
| OFS  | bit | parameter                                        | data(hex)    | value              | TYP |SOC|SUB|PID|IDX|
+======+=====+==================================================+==============+====================+=====+===+===+===+===+
|    0 | 6~0 | [Self] Voice Delay                               | 00~61        | 0~97               |11/12|127|  0|  0|  0|
|      | 7   | [Self] Model Type                                | 00~06        | Tine I Late~Early  |11/12|127|  0|  1|  0|
|    1 | 1~0 |                                                  |              |                    |     |   |   |   |   |
|      | 5~2 | [Self] IFX Type                                  | 00~09        | Off~VOX Wah        |11/12|127|  0|  2|  0|
|      | 7~6 | [Self] Tine Pre Amp Volume                       | 00~64        | 0~100              |11/12|127|  0|  3|  0|
|    2 | 4~0 |                                                  |              |                    |     |   |   |   |   |
