0:Off


1:HD-1


2:AL-1, Number Of Param. = 609
+======+=====+=====================================================+==============+====================+=====+===+===+===+===+
| OFS  | bit | parameter                                           | data(hex)    | value              | TYP |SOC|SUB|PID|IDX|
|      | 7~2 | [LFO3] Frequency Mod.2 Intensity                    | 9D~63        | -99~+99            |11/12|  8|  0| 17|  0|
|   50 | 1~0 |                                                     |              |                    |     |   |   |   |   |
|      | 2   | [LFO3] MIDI Sync                                    | 00~01        | Off~On             |11/12|  8|  0| 18|  0|
|      | 6~3 | [LFO3] MIDI Sync Base Note                          | 00~09        | 1/32~1/1           |11/12|  8|  0| 19|  0|
|      | 7   | [LFO3] MIDI Sync Times                              | 01~20        | 1~32               |11/12|  8|  0| 20|  0|
|   51 | 4~0 |                                                     |              |                    |     |   |   |   |   |
|   52 | 4~0 | [LFO4] Waveform                                     | 00~11        | Triangle~Random6(Co|11/12|  9|  0|  0|  0|
|      | 7~5 | [LFO4] Start Phase                                  | DC~25        | -180~RND           |11/12|  9|  0|  1|  0|
|   53 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [LFO4] Shape                                        | 9D~63        | -99~+99            |11/12|  9|  0|  2|  0|
|   54 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [LFO4] Shape Mod.Source                             | 00~34        | Off~Tempo          |11/12|  9|  0|  3|  0|
|   55 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [LFO4] Shape Mod.Intensity                          | 9D~63        | -99~+99            |11/12|  9|  0|  4|  0|
|   56 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [LFO4] Frequency                                    | 00~63        | 0~99               |11/12|  9|  0|  5|  0|
|   57 | 2~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~3 | [LFO4] Frequency Fine                               | 00~63        | 0~99               |11/12|  9|  0|  6|  0|
|   58 | 1~0 |                                                     |              |                    |     |   |   |   |   |
|      | 2   | [LFO4] Stop                                         | 00~01        | Off~On             |11/12|  9|  0|  7|  0|
|      | 7~3 | [LFO4] Offset                                       | 9D~63        | -99~+99            |11/12|  9|  0|  8|  0|
|   59 | 2~0 |                                                     |              |                    |     |   |   |   |   |
|      | 3   | [LFO4] Key Sync                                     | 00~01        | Off~On             |11/12|  9|  0|  9|  0|
|      | 7~4 | [LFO4] Fade In                                      | 00~63        | 0~99               |11/12|  9|  0| 10|  0|
|   60 | 2~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~3 | [LFO4] Delay                                        | 00~63        | 0~99               |11/12|  9|  0| 11|  0|
|   61 | 1~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~2 | [LFO4] Frequency Mod.1 Source                       | 00~34        | Off~Tempo          |11/12|  9|  0| 12|  0|
